state,value
Mississippi,64
Oklahoma,56
Delaware, 475
Minnesota,68
Illinois,232
Arkansas,57
New Mexico,17
Indiana,183
Maryland,611
Louisiana,107
Idaho,20
Wyoming,6
Tennessee,158
Arizona,58
Iowa,55
Michigan,175
Kansas,35
Utah,35
Virginia,209
Oregon,41
Connecticut,743
Montana,7
California,246
Massachusetts,858
West Virginia,77
South Carolina,159
New Hampshire,148
Wisconsin,106
Vermont,68
Georgia,174
North Dakota,11
Pennsylvania,286
Florida,347
Alaska,1
Kentucky,111
Hawaii,219
Nebraska,24
Missouri,88
Ohio,283
Alabama,95
New York,417
South Dakota,11
Colorado,51
New Jersey,1201
Washington,105
North Carolina,202
District of Columbia,10589
Texas,101
Nevada,25
Maine,43
Rhode Island,1017
